Gene	ModelName	Beta	FDR
AATF	OMM1	-0.61768	0.13223
AATF	OMM23	-0.65914	0.12022
AATF	OMM25	-0.65364	0.13121
AATK	921	0.12282	0.92781
AATK	Mel202	-0.58774	0.2197
AATK	Mel270	-0.068647	0.92962
AATK	Mel285	0.078268	0.92715
AATK	MP38	-0.11524	0.82848
AATK	MP41	-0.099438	0.85933
AATK	MP46	-0.019572	0.96633
AATK	OMM1	-0.14776	0.84805
AATK	OMM23	-0.04299	0.97657
AATK	OMM25	-0.27036	0.63765
ABAT	921	0.24444	0.77247
ABAT	Mel202	0.03915	0.91396
ABAT	Mel270	0.028112	0.93156
ABAT	Mel285	-0.086165	0.8466
ABAT	MP38	-0.083765	0.88921
ABAT	MP41	-0.053392	0.94267
ABAT	MP46	0.06245	0.89965
ABAT	OMM1	0.08542	0.83046
ABAT	OMM23	0.11112	0.72743
ABAT	OMM25	-0.07088	0.94607
ABCA1	921	0.040947	0.99763
ABCA1	Mel202	0.17763	0.5422
ABCA1	Mel270	0.10785	0.7652
ABCA1	Mel285	0.051107	0.96935
ABCA1	MP38	0.08121	0.8203
ABCA1	MP41	-0.0055397	0.98672
ABCA1	MP46	0.051792	0.92227
ABCA1	OMM1	0.023789	0.95806
ABCA1	OMM23	-0.019223	0.99343
ABCA1	OMM25	0.011807	0.97009
ABCA10	921	-0.40958	0.49057
ABCA10	Mel202	-0.051384	0.97879
ABCA10	Mel270	0.0080954	0.968
ABCA10	Mel285	0.14801	0.78528
ABCA10	MP38	0.12653	0.64385
ABCA10	MP41	0.078175	0.80066
ABCA10	MP46	0.11677	0.71789
ABCA10	OMM1	0.042928	0.92694
ABCA10	OMM23	0.015385	0.97806
ABCA10	OMM25	-0.091983	0.91785
ABCA12	921	0.19874	0.84085
ABCA12	Mel202	0.064607	0.86876
ABCA12	Mel270	0.24815	0.25716
ABCA12	Mel285	-0.071337	0.87397
ABCA12	MP38	0.18566	0.33422
ABCA12	MP41	0.0044934	0.97081
ABCA12	MP46	-0.05589	0.90441
ABCA12	OMM1	-0.033024	0.98636
ABCA12	OMM23	-0.061644	0.95787
ABCA12	OMM25	0.11094	0.76038
ABCA13	921	0.31335	0.64627
ABCA13	Mel202	0.17181	0.56952
ABCA13	Mel270	-0.041616	0.96886
ABCA13	Mel285	0.08071	0.92424
ABCA13	MP38	0.023225	0.95401
ABCA13	MP41	0.14618	0.5396
ABCA13	MP46	0.03997	0.94868
ABCA13	OMM1	0.1906	0.39914
ABCA13	OMM23	0.21495	0.25475
ABCA13	OMM25	0.057931	0.88936
ABCA2	921	0.018533	0.99103
ABCA2	Mel202	-0.011711	0.98774
ABCA2	Mel270	0.13874	0.66434
ABCA2	Mel285	-0.11842	0.78494
ABCA2	MP38	0.056309	0.89072
ABCA2	MP41	0.02469	0.94029
ABCA2	MP46	-0.018352	0.96812
ABCA2	OMM1	-0.062569	0.9592
ABCA2	OMM23	0.046108	0.9251
ABCA2	OMM25	-0.016401	0.99989
ABCA3	921	0.65853	0.05506
ABCA3	Mel202	0.25654	0.26477
ABCA3	Mel270	0.1711	0.54666
ABCA3	Mel285	0.30966	0.29176
ABCA3	MP38	0.27377	0.04386
ABCA3	MP41	0.12811	0.60946
ABCA3	MP46	0.25519	0.090323
ABCA3	OMM1	0.14524	0.60439
ABCA3	OMM23	0.30026	0.035632
ABCA3	OMM25	0.22839	0.30015
ABCA4	921	0.11972	0.93244
ABCA4	Mel202	0.033032	0.92677
ABCA4	Mel270	-0.1154	0.86764
ABCA4	Mel285	-0.12717	0.77186
ABCA4	MP38	-0.16147	0.72951
ABCA4	MP41	-0.15117	0.74152
ABCA4	MP46	-0.12443	0.72304
ABCA4	OMM1	-0.12233	0.88544
ABCA4	OMM23	-0.18822	0.76847
ABCA4	OMM25	-0.099029	0.90823
ABCA5	921	-0.06629	0.92078
ABCA5	Mel202	-0.16302	0.82951
ABCA5	Mel270	-0.10372	0.88145
ABCA5	Mel285	0.067193	0.94368
ABCA5	MP38	-0.023917	0.98003
ABCA5	MP41	2.01e-4	0.97598
ABCA5	MP46	-0.068989	0.87725
ABCA5	OMM1	-0.01644	0.99967
ABCA5	OMM23	-0.067208	0.9494
ABCA5	OMM25	0.023842	0.95415
ABCA6	921	-0.045736	0.94165
ABCA6	Mel202	-0.21233	0.75185
ABCA6	Mel270	-0.029833	0.98594
ABCA6	Mel285	-0.038727	0.92402
ABCA6	MP38	-0.061963	0.92425
ABCA6	MP41	-0.038215	0.96412
ABCA6	MP46	-0.10333	0.7899
ABCA6	OMM1	-0.052415	0.96811
ABCA6	OMM23	-0.082438	0.92716
ABCA6	OMM25	-0.042695	0.97379
ABCA7	921	0.53051	0.21153
ABCA7	Mel202	0.071362	0.85139
ABCA7	Mel270	0.20194	0.4353
ABCA7	Mel285	0.24753	0.48928
ABCA7	MP38	0.076961	0.83231
ABCA7	MP41	0.12477	0.62077
ABCA7	MP46	0.11998	0.70679
ABCA7	OMM1	0.11381	0.73054
ABCA7	OMM23	0.16632	0.47161
ABCA7	OMM25	0.013408	0.96915
ABCA8	921	-0.25251	0.71664
ABCA8	Mel202	-0.11484	0.8989
ABCA8	Mel270	-0.044854	0.96583
ABCA8	Mel285	0.21478	0.60463
ABCA8	MP38	0.023619	0.95346
ABCA8	MP41	-0.038511	0.96409
ABCA8	MP46	-0.057144	0.9027
ABCA8	OMM1	-0.055452	0.96591
ABCA8	OMM23	0.069582	0.86795
ABCA8	OMM25	0.024479	0.95286
ABCA9	921	0.0384	0.9991
ABCA9	Mel202	-0.11859	0.8989
ABCA9	Mel270	0.081873	0.85671
ABCA9	Mel285	0.26905	0.50507
ABCA9	MP38	0.067383	0.88659
ABCA9	MP41	-0.029556	0.97424
ABCA9	MP46	0.22899	0.24071
ABCA9	OMM1	0.21018	0.40962
ABCA9	OMM23	0.13178	0.70377
ABCA9	OMM25	0.088731	0.85053
