Gene	ModelName	Beta	FDR
GNPDA1	921	0.17517	0.88712
GNPDA1	Mel202	0.075236	0.87021
GNPDA1	Mel270	-0.010159	0.99732
GNPDA1	Mel285	0.11347	0.89272
GNPDA1	MP38	0.095135	0.81471
GNPDA1	MP41	0.035523	0.93203
GNPDA1	MP46	0.16216	0.57311
GNPDA1	OMM1	0.038596	0.94742
GNPDA1	OMM23	0.06574	0.9024
GNPDA1	OMM25	-0.10925	0.89708
GNPDA2	921	0.10932	0.94329
GNPDA2	Mel202	0.073796	0.84727
GNPDA2	Mel270	-0.021749	0.99191
GNPDA2	Mel285	0.18323	0.6989
GNPDA2	MP38	0.087011	0.80118
GNPDA2	MP41	0.064234	0.84462
GNPDA2	MP46	0.066693	0.88924
GNPDA2	OMM1	0.036277	0.93546
GNPDA2	OMM23	0.099225	0.77896
GNPDA2	OMM25	0.027295	0.94852
GNPNAT1	921	-0.042537	0.94417
GNPNAT1	Mel202	-0.099777	0.91738
GNPNAT1	Mel270	-0.0047042	0.98601
GNPNAT1	Mel285	0.021229	0.99698
GNPNAT1	MP38	0.17396	0.39682
GNPNAT1	MP41	-0.0011727	0.97895
GNPNAT1	MP46	0.084627	0.84425
GNPNAT1	OMM1	0.14894	0.59547
GNPNAT1	OMM23	-0.040302	0.97829
GNPNAT1	OMM25	0.054178	0.89985
GNPTAB	921	0.10494	0.94955
GNPTAB	Mel202	0.020949	0.94713
GNPTAB	Mel270	-0.070514	0.9285
GNPTAB	Mel285	-0.0080523	0.96859
GNPTAB	MP38	0.017653	0.96694
GNPTAB	MP41	0.098077	0.72495
GNPTAB	MP46	0.13744	0.61792
GNPTAB	OMM1	0.11067	0.74465
GNPTAB	OMM23	0.054288	0.90714
GNPTAB	OMM25	0.018211	0.96011
GNPTG	921	0.36875	0.53937
GNPTG	Mel202	-0.066488	0.96249
GNPTG	Mel270	-0.0047641	0.98619
GNPTG	Mel285	0.078001	0.92755
GNPTG	MP38	0.12822	0.6337
GNPTG	MP41	0.17319	0.42997
GNPTG	MP46	0.015561	0.98078
GNPTG	OMM1	0.010083	0.97129
GNPTG	OMM23	0.084858	0.82126
GNPTG	OMM25	0.10548	0.77641
GNRH1	921	0.25674	0.74879
GNRH1	Mel202	-0.07934	0.9473
GNRH1	Mel270	0.28315	0.1492
GNRH1	Mel285	0.31077	0.28998
GNRH1	MP38	0.095178	0.77422
GNRH1	MP41	0.20014	0.3159
GNRH1	MP46	0.023363	0.97128
GNRH1	OMM1	0.13771	0.63686
GNRH1	OMM23	0.28384	0.063745
GNRH1	OMM25	0.26637	0.1793
GNRH2	921	0.43971	0.38327
GNRH2	Mel202	0.15636	0.62695
GNRH2	Mel270	0.21028	0.3976
GNRH2	Mel285	-0.040633	0.92274
GNRH2	MP38	0.11299	0.70341
GNRH2	MP41	0.13186	0.59319
GNRH2	MP46	0.053005	0.91986
GNRH2	OMM1	0.2891	0.07974
GNRH2	OMM23	0.27813	0.073034
GNRH2	OMM25	0.18853	0.45931
GNRHR	921	0.35005	0.63274
GNRHR	Mel202	0.1038	0.81152
GNRHR	Mel270	0.27458	0.25576
GNRHR	Mel285	0.42603	0.12147
GNRHR	MP38	0.27179	0.098166
GNRHR	MP41	0.32941	0.061713
GNRHR	MP46	0.22646	0.25501
GNRHR	OMM1	0.17173	0.56846
GNRHR	OMM23	0.2378	0.24743
GNRHR	OMM25	0.35198	0.073294
GNS	921	0.21247	0.82193
GNS	Mel202	0.24266	0.31769
GNS	Mel270	-0.16516	0.79805
GNS	Mel285	-0.17459	0.67119
GNS	MP38	-0.073857	0.90845
GNS	MP41	-0.043015	0.95789
GNS	MP46	0.049685	0.93028
GNS	OMM1	0.042238	0.9272
GNS	OMM23	-0.019036	0.99412
GNS	OMM25	0.10732	0.77353
GOLGA1	921	0.0055593	0.98099
GOLGA1	Mel202	0.099724	0.78421
GOLGA1	Mel270	0.075115	0.84588
GOLGA1	Mel285	0.04684	0.97454
GOLGA1	MP38	0.092639	0.78358
GOLGA1	MP41	0.076605	0.80725
GOLGA1	MP46	0.0065372	0.99575
GOLGA1	OMM1	0.082097	0.83729
GOLGA1	OMM23	-0.065048	0.95358
GOLGA1	OMM25	0.085136	0.8314
GOLGA2	921	0.36108	0.55307
GOLGA2	Mel202	-0.12901	0.87863
GOLGA2	Mel270	0.12841	0.70127
GOLGA2	Mel285	-0.20577	0.59969
GOLGA2	MP38	0.043238	0.9221
GOLGA2	MP41	0.076911	0.80637
GOLGA2	MP46	0.02652	0.96771
GOLGA2	OMM1	-0.11461	0.89303
GOLGA2	OMM23	-0.1389	0.84293
GOLGA2	OMM25	-0.12234	0.87432
GOLGA3	921	0.29129	0.68851
GOLGA3	Mel202	-0.12558	0.88457
GOLGA3	Mel270	0.026914	0.93521
GOLGA3	Mel285	0.12453	0.84282
GOLGA3	MP38	0.070418	0.84789
GOLGA3	MP41	0.10141	0.71281
GOLGA3	MP46	0.13197	0.64372
GOLGA3	OMM1	0.10804	0.75559
GOLGA3	OMM23	0.016522	0.97658
GOLGA3	OMM25	0.10505	0.7776
GOLGA4	921	0.1301	0.92133
GOLGA4	Mel202	0.057778	0.88513
GOLGA4	Mel270	0.052469	0.88803
GOLGA4	Mel285	-0.081675	0.85625
GOLGA4	MP38	-0.036427	0.96103
GOLGA4	MP41	0.042792	0.90165
GOLGA4	MP46	-0.11721	0.74424
GOLGA4	OMM1	0.02111	0.96068
GOLGA4	OMM23	0.13834	0.60943
GOLGA4	OMM25	-0.11786	0.88144
GOLGA5	921	-0.33762	0.59736
GOLGA5	Mel202	-0.24518	0.70566
GOLGA5	Mel270	-0.12336	0.85659
GOLGA5	Mel285	0.050105	0.9701
GOLGA5	MP38	-0.11772	0.82409
GOLGA5	MP41	-0.11285	0.83512
GOLGA5	MP46	0.036931	0.95173
GOLGA5	OMM1	0.025933	0.95349
GOLGA5	OMM23	-0.052247	0.96806
GOLGA5	OMM25	-0.008356	0.99005
GOLGA6A	921	-0.79499	0.44104
GOLGA6A	Mel202	-1.0993	0.19606
GOLGA6A	Mel270	-0.83583	0.29114
GOLGA6A	Mel285	-0.35134	0.58758
GOLGA6A	MP38	-0.35508	0.57599
GOLGA6A	MP41	-0.64808	0.31509
GOLGA6A	MP46	-0.14592	0.82275
GOLGA6A	OMM1	-0.6864	0.41798
GOLGA6A	OMM23	-0.29212	0.71533
GOLGA6A	OMM25	-1.0696	0.18576
GOLGA6B	921	-0.29219	0.88302
GOLGA6B	Mel202	-0.046397	0.95619
GOLGA6B	Mel270	-0.26837	0.79419
GOLGA6B	Mel285	-0.10231	0.92228
GOLGA6B	MP38	0.072426	0.95123
GOLGA6B	MP41	-0.10839	0.90266
GOLGA6B	MP46	-0.13458	0.89342
GOLGA6B	OMM1	-0.12642	0.90445
GOLGA6B	OMM23	0.0052255	0.99291
GOLGA6B	OMM25	-0.058798	0.95005
GOLGA6C	921	0.37097	0.84433
GOLGA6C	Mel202	0.25484	0.76224
GOLGA6C	Mel270	-0.099435	0.90925
GOLGA6C	Mel285	0.26972	0.81312
GOLGA6C	MP38	-0.049935	0.95651
GOLGA6C	MP41	0.16223	0.8435
GOLGA6C	MP46	0.1271	0.9069
GOLGA6C	OMM1	-0.0094605	0.98157
GOLGA6C	OMM23	0.11077	0.93684
GOLGA6C	OMM25	-0.1884	0.85089
GOLGA7	921	-0.058855	0.92627
GOLGA7	Mel202	-0.25285	0.69752
GOLGA7	Mel270	-0.17983	0.77436
GOLGA7	Mel285	0.18618	0.69213
GOLGA7	MP38	0.014906	0.96915
GOLGA7	MP41	-0.42368	0.20961
GOLGA7	MP46	0.056177	0.91321
GOLGA7	OMM1	-0.059188	0.96263
GOLGA7	OMM23	-0.084787	0.92452
GOLGA7	OMM25	-0.078773	0.93618
GOLGA7B	921	-0.14702	0.86144
GOLGA7B	Mel202	0.019488	0.96111
GOLGA7B	Mel270	0.036602	0.93521
GOLGA7B	Mel285	0.08492	0.92775
GOLGA7B	MP38	0.02147	0.9672
GOLGA7B	MP41	0.0090445	0.97275
GOLGA7B	MP46	0.065051	0.90796
GOLGA7B	OMM1	0.037828	0.94932
GOLGA7B	OMM23	-0.069368	0.944
GOLGA7B	OMM25	0.15577	0.6662
GOLGA8M	921	0.046128	0.99933
GOLGA8M	Mel202	-0.65761	0.59316
GOLGA8M	Mel270	-0.1922	0.84716
GOLGA8M	Mel285	-0.41151	0.67877
GOLGA8M	MP38	-0.02633	0.97499
GOLGA8M	MP41	-0.30158	0.70674
GOLGA8M	MP46	0.12103	0.91321
GOLGA8M	OMM1	-0.050153	0.95991
GOLGA8M	OMM23	-0.10177	0.92332
GOLGA8M	OMM25	-0.37164	0.71526
GOLGA8R	921	0.87817	0.35159
GOLGA8R	Mel202	0.4358	0.44255
GOLGA8R	Mel270	0.6351	0.090395
GOLGA8R	Mel285	0.58767	0.35951
GOLGA8R	MP38	0.3081	0.54376
GOLGA8R	MP41	0.34749	0.47717
GOLGA8R	MP46	0.22571	0.76205
GOLGA8R	OMM1	0.44122	0.29798
GOLGA8R	OMM23	0.47515	0.19822
GOLGA8R	OMM25	0.459	0.32634
GOLGB1	921	-0.038273	0.94955
GOLGB1	Mel202	0.058498	0.88293
GOLGB1	Mel270	0.079574	0.83777
GOLGB1	Mel285	0.31478	0.28184
GOLGB1	MP38	0.17566	0.38754
GOLGB1	MP41	0.043957	0.89802
GOLGB1	MP46	0.084554	0.84425
GOLGB1	OMM1	0.051263	0.90853
GOLGB1	OMM23	-0.015786	0.99573
GOLGB1	OMM25	0.17013	0.532
GOLIM4	921	0.23573	0.78457
GOLIM4	Mel202	0.17013	0.57412
GOLIM4	Mel270	0.12221	0.71483
GOLIM4	Mel285	0.10663	0.88352
GOLIM4	MP38	0.16014	0.4609
GOLIM4	MP41	0.14286	0.55065
GOLIM4	MP46	0.1673	0.46885
GOLIM4	OMM1	0.20083	0.3428
GOLIM4	OMM23	0.029977	0.95901
GOLIM4	OMM25	0.16655	0.54313
GOLM1	921	0.081825	0.96774
GOLM1	Mel202	0.076325	0.84171
GOLM1	Mel270	0.054609	0.88462
GOLM1	Mel285	-0.10166	0.81262
GOLM1	MP38	0.023613	0.95346
GOLM1	MP41	0.035239	0.9183
GOLM1	MP46	-0.053895	0.90879
GOLM1	OMM1	-0.063582	0.95872
GOLM1	OMM23	-0.01031	0.99664
GOLM1	OMM25	-0.0039824	0.98519
GOLPH3	921	-0.25207	0.71809
GOLPH3	Mel202	-0.0031337	0.97879
GOLPH3	Mel270	0.22235	0.35784
GOLPH3	Mel285	-0.03901	0.92402
GOLPH3	MP38	0.12009	0.67109
GOLPH3	MP41	0.12237	0.63173
GOLPH3	MP46	0.14135	0.60018
GOLPH3	OMM1	0.18131	0.43291
GOLPH3	OMM23	0.20652	0.28139
GOLPH3	OMM25	0.24315	0.24081
GOLPH3L	921	-0.09021	0.89736
GOLPH3L	Mel202	0.02271	0.94298
GOLPH3L	Mel270	-0.0067016	0.9889
GOLPH3L	Mel285	0.11209	0.87327
GOLPH3L	MP38	0.052137	0.90282
GOLPH3L	MP41	0.10661	0.69301
GOLPH3L	MP46	0.064591	0.89454
GOLPH3L	OMM1	0.1382	0.6349
GOLPH3L	OMM23	0.066924	0.87272
GOLPH3L	OMM25	-0.017964	0.999
GOLT1A	921	0.30694	0.65841
GOLT1A	Mel202	3.2892e-5	0.97569
GOLT1A	Mel270	0.024983000000000002	0.93963
GOLT1A	Mel285	0.18942	0.67983
GOLT1A	MP38	0.078935	0.82848
GOLT1A	MP41	0.12278	0.6295
GOLT1A	MP46	0.037082	0.9517
GOLT1A	OMM1	0.093124	0.80712
GOLT1A	OMM23	0.14699	0.56883
GOLT1A	OMM25	0.055202	0.89683
GOLT1B	921	-0.41438	0.48549
GOLT1B	Mel202	-0.045737	0.98517
GOLT1B	Mel270	0.11211	0.75102
GOLT1B	Mel285	0.10059	0.89747
GOLT1B	MP38	0.1335	0.60697
GOLT1B	MP41	0.062894	0.85058
GOLT1B	MP46	-0.0087331	0.98059
GOLT1B	OMM1	-0.42704	0.35948
GOLT1B	OMM23	-0.18987	0.76624
GOLT1B	OMM25	-0.52323	0.23879
GON4L	921	-0.052853	0.93356
GON4L	Mel202	-0.10998	0.9037
GON4L	Mel270	-0.46748	0.29838
GON4L	Mel285	-0.21926	0.56039
GON4L	MP38	-0.28464	0.42958
GON4L	MP41	-0.052159	0.94397
GON4L	MP46	0.040653	0.94785
GON4L	OMM1	-0.1838	0.79485
GON4L	OMM23	-0.151	0.82271
GON4L	OMM25	-0.21359	0.72945
GOPC	921	0.020066	0.99191
GOPC	Mel202	0.16894	0.57943
GOPC	Mel270	0.13693	0.66894
GOPC	Mel285	0.21883	0.59077
GOPC	MP38	0.16244	0.44798
GOPC	MP41	0.013365	0.95761
GOPC	MP46	0.051889	0.92227
GOPC	OMM1	0.10535	0.76497
GOPC	OMM23	-0.12826	0.86036
GOPC	OMM25	0.11179	0.75623
GORAB	921	-0.11986	0.87181
GORAB	Mel202	-0.0050544	0.98155
GORAB	Mel270	0.1234	0.71258
GORAB	Mel285	-0.12419	0.77745
GORAB	MP38	-0.03846	0.95731
GORAB	MP41	0.051528	0.88016
GORAB	MP46	0.051258	0.92325
GORAB	OMM1	0.086407	0.82913
GORAB	OMM23	0.012826	0.97829
GORAB	OMM25	0.10622	0.77478
GORASP1	921	0.4072	0.44771
GORASP1	Mel202	0.17194	0.56867
GORASP1	Mel270	0.066978	0.86167
GORASP1	Mel285	0.034023	0.98945
GORASP1	MP38	0.050806	0.90715
GORASP1	MP41	0.081136	0.78832
GORASP1	MP46	0.14334	0.59546
GORASP1	OMM1	0.14863	0.59671
GORASP1	OMM23	0.20121	0.30949
GORASP1	OMM25	0.078407	0.8449
GORASP2	921	0.34465	0.59044
GORASP2	Mel202	0.16673	0.58561
GORASP2	Mel270	0.28623	0.14267
GORASP2	Mel285	0.039168	0.98516
GORASP2	MP38	0.11662	0.68838
GORASP2	MP41	0.18345	0.38542
GORASP2	MP46	0.12254	0.69408
GORASP2	OMM1	0.1403	0.62803
GORASP2	OMM23	-0.1317	0.85452
GORASP2	OMM25	0.17353	0.5187
GOSR1	921	-0.15979	0.83076
GOSR1	Mel202	-0.21809	0.74347
GOSR1	Mel270	-0.4075	0.38948
GOSR1	Mel285	-0.50161	0.08761
GOSR1	MP38	-0.24621	0.52319
GOSR1	MP41	-0.14197	0.76274
GOSR1	MP46	-0.16585	0.58515
GOSR1	OMM1	-0.25218	0.6715
GOSR1	OMM23	-0.26055	0.63726
GOSR1	OMM25	-0.055487	0.96221
GOSR2	921	-0.30474	0.64027
GOSR2	Mel202	-0.71988	0.10743
GOSR2	Mel270	-0.99956	0.012598
GOSR2	Mel285	-0.28396	0.41967
GOSR2	MP38	-0.95839	0.003268
GOSR2	MP41	-0.53394	0.1
GOSR2	MP46	-0.3374	0.092949
GOSR2	OMM1	-1.2506	0.004158
GOSR2	OMM23	-1.361	0.0047393
GOSR2	OMM25	-0.88209	0.022975
GOT1	921	0.14354	0.90532
GOT1	Mel202	0.093924	0.80056
GOT1	Mel270	0.13579	0.67416
GOT1	Mel285	0.059579	0.95749
GOT1	MP38	-0.0051278	0.99792
GOT1	MP41	-0.00119	0.97899
GOT1	MP46	-0.025533	0.96007
GOT1	OMM1	-0.087085	0.93023
GOT1	OMM23	-0.17103	0.79152
GOT1	OMM25	-0.098729	0.90894
GOT1L1	921	-0.080015	0.90677
GOT1L1	Mel202	-0.32519	0.58442
GOT1L1	Mel270	0.060355	0.8734
GOT1L1	Mel285	0.14266	0.79622
GOT1L1	MP38	0.053196	0.90029
GOT1L1	MP41	0.045861	0.89299
GOT1L1	MP46	0.099601	0.78939
GOT1L1	OMM1	0.22226	0.25021
GOT1L1	OMM23	0.30437	0.032374
GOT1L1	OMM25	0.14482	0.64146
GOT2	921	-0.56567	0.3835
GOT2	Mel202	-0.50823	0.38468
GOT2	Mel270	-0.66344	0.1639
GOT2	Mel285	-0.17769	0.71075
GOT2	MP38	-0.27463	0.5356
GOT2	MP41	-0.33032	0.45218
GOT2	MP46	-0.17826	0.61009
GOT2	OMM1	-0.38097	0.51791
GOT2	OMM23	-0.40183	0.47845
GOT2	OMM25	-0.37823	0.51126
GP1BA	921	0.22888	0.79541
GP1BA	Mel202	0.21132	0.42779
GP1BA	Mel270	0.13952	0.66109
GP1BA	Mel285	0.13788	0.80625
GP1BA	MP38	0.1181	0.68048
GP1BA	MP41	0.20892	0.27459
GP1BA	MP46	0.0018393	0.99627
GP1BA	OMM1	0.068223	0.87598
GP1BA	OMM23	0.17467	0.43093
GP1BA	OMM25	0.087232	0.82715
GP1BB	921	0.021823	0.99221
GP1BB	Mel202	-0.086949	0.93618
GP1BB	Mel270	-0.20356	0.7302
GP1BB	Mel285	0.10353	0.89008
GP1BB	MP38	-0.11124	0.8341
GP1BB	MP41	-0.12563	0.8037
GP1BB	MP46	-0.1184	0.74085
GP1BB	OMM1	-0.11799	0.89085
GP1BB	OMM23	-0.088571	0.92053
GP1BB	OMM25	-0.11655	0.88327
GP2	921	0.29884	0.676
GP2	Mel202	0.050786	0.89705
GP2	Mel270	0.030491	0.92945
GP2	Mel285	0.12542	0.84083
GP2	MP38	-0.015145	0.99118
GP2	MP41	0.021365	0.94429
GP2	MP46	-0.071812	0.87469
GP2	OMM1	0.0029633	0.97979
GP2	OMM23	0.18838	0.36933
GP2	OMM25	-0.030156	0.98586
GP5	921	0.54649	0.1875
GP5	Mel202	0.16341	0.59708
GP5	Mel270	0.31037	0.079125
GP5	Mel285	0.18581	0.69425
GP5	MP38	0.11252	0.7044
GP5	MP41	0.12945	0.60468
GP5	MP46	0.10272	0.77903
GP5	OMM1	0.10727	0.75736
GP5	OMM23	0.19478	0.34494
GP5	OMM25	0.22603	0.30781
GP6	921	0.043638	0.99608
GP6	Mel202	-0.046158	0.98375
GP6	Mel270	-0.15042	0.82001
GP6	Mel285	-0.11478	0.79016
GP6	MP38	0.048953000000000003	0.90959
GP6	MP41	-0.095208	0.86683
GP6	MP46	-0.011064	0.97756
GP6	OMM1	0.0032107	0.97959
GP6	OMM23	0.048555	0.92101
GP6	OMM25	0.17696	0.50615
GP9	921	0.058456	0.98557
GP9	Mel202	-0.12171	0.89057
GP9	Mel270	0.029659	0.92961
GP9	Mel285	0.016658	0.99298
GP9	MP38	-0.025138	0.97811
GP9	MP41	0.01034	0.96117
GP9	MP46	7.3475e-4	0.9952
GP9	OMM1	-0.025026	0.99225
GP9	OMM23	0.048325	0.92129
GP9	OMM25	-0.0059004	0.98704
GPA33	921	0.10507	0.94955
GPA33	Mel202	0.03456	0.92312
GPA33	Mel270	0.075237	0.84556
GPA33	Mel285	-0.015115	0.95852
GPA33	MP38	-0.030532	0.96915
GPA33	MP41	0.14135	0.55556
GPA33	MP46	0.053284	0.91805
GPA33	OMM1	0.21216	0.2959
GPA33	OMM23	0.18443	0.38494
GPA33	OMM25	0.14986	0.61793
GPAA1	921	0.13169	0.91925
GPAA1	Mel202	-0.40884	0.45719
GPAA1	Mel270	0.0017379	0.97707
GPAA1	Mel285	-0.066279	0.88352
GPAA1	MP38	-0.056477	0.93004
GPAA1	MP41	-0.29312	0.45266
GPAA1	MP46	-0.020056	0.96533
GPAA1	OMM1	0.12637	0.68234
GPAA1	OMM23	-0.024801	0.98746
GPAA1	OMM25	0.002044	0.97976
GPALPP1	921	-0.16568	0.82193
GPALPP1	Mel202	0.072946	0.84864
GPALPP1	Mel270	0.079338	0.83842
GPALPP1	Mel285	0.24812	0.48649
GPALPP1	MP38	0.094566	0.77729
GPALPP1	MP41	0.15512	0.50722
GPALPP1	MP46	-0.057261	0.9027
GPALPP1	OMM1	0.12987	0.66825
GPALPP1	OMM23	-0.066948	0.95037
GPALPP1	OMM25	-0.017334	0.99989
GPAM	921	0.24045	0.77844
GPAM	Mel202	0.17258	0.56637
GPAM	Mel270	0.16707	0.56154
GPAM	Mel285	0.10508	0.88592
GPAM	MP38	0.064072	0.87049
GPAM	MP41	0.056953	0.86401
GPAM	MP46	0.026414	0.96771
GPAM	OMM1	0.040997	0.93008
GPAM	OMM23	-0.016499	0.99518
GPAM	OMM25	0.12754	0.70188
GPANK1	921	-0.020541	0.96244
GPANK1	Mel202	-0.16363	0.82932
GPANK1	Mel270	-0.10992	0.87345
GPANK1	Mel285	0.06862	0.94248
GPANK1	MP38	0.015177	0.96915
GPANK1	MP41	-0.035955	0.96732
GPANK1	MP46	-0.18381	0.50676
GPANK1	OMM1	-0.15559	0.83547
GPANK1	OMM23	-0.1203	0.87002
GPANK1	OMM25	-0.076929	0.93943
GPAT2	921	-0.032094	0.95346
GPAT2	Mel202	-0.5452	0.26186
GPAT2	Mel270	-0.4264	0.3637
GPAT2	Mel285	-0.17198	0.67698
GPAT2	MP38	-0.080904	0.89499
GPAT2	MP41	-0.17844	0.68443
GPAT2	MP46	0.0012069	0.99575
GPAT2	OMM1	-0.36208	0.47036
GPAT2	OMM23	-0.077935	0.93131
GPAT2	OMM25	-0.39988	0.41337
GPATCH1	921	0.12456	0.92545
GPATCH1	Mel202	0.2667	0.23541
GPATCH1	Mel270	-0.11956	0.86171
GPATCH1	Mel285	0.19868	0.65249
GPATCH1	MP38	0.2089	0.21449
GPATCH1	MP41	0.017517	0.95065
GPATCH1	MP46	0.14932	0.56577
GPATCH1	OMM1	-0.15563	0.83547
GPATCH1	OMM23	-0.016819	0.99518
GPATCH1	OMM25	0.086853	0.82831
GPATCH11	921	-0.13723	0.80016
GPATCH11	Mel202	0.012813	0.92879
GPATCH11	Mel270	-0.15156	0.77534
GPATCH11	Mel285	-0.13711	0.65275
GPATCH11	MP38	-0.040504	0.94809
GPATCH11	MP41	0.037171	0.87233
GPATCH11	MP46	9.3977e-5	0.99432
GPATCH11	OMM1	-0.050928	0.97101
GPATCH11	OMM23	-0.072232	0.93652
GPATCH11	OMM25	-0.11906	0.85408
GPATCH2	921	-0.52006	0.3453
GPATCH2	Mel202	-0.051994	0.97879
GPATCH2	Mel270	-0.15963	0.80773
GPATCH2	Mel285	-0.016825	0.95346
GPATCH2	MP38	-0.14834	0.7573
GPATCH2	MP41	-0.075716	0.90475
GPATCH2	MP46	-0.067405	0.88245
GPATCH2	OMM1	-0.068116	0.9519
GPATCH2	OMM23	0.0037855	0.98513
GPATCH2	OMM25	-0.36493	0.46782
GPATCH2L	921	0.14076	0.90808
GPATCH2L	Mel202	0.10416	0.77054
GPATCH2L	Mel270	0.12962	0.69798
GPATCH2L	Mel285	0.1242	0.8439
GPATCH2L	MP38	0.062355	0.87529
GPATCH2L	MP41	0.11258	0.67162
GPATCH2L	MP46	0.053139	0.91884
GPATCH2L	OMM1	0.048108	0.91485
GPATCH2L	OMM23	0.085155	0.8209
GPATCH2L	OMM25	0.13964	0.65981
GPATCH3	921	0.38947	0.48504
GPATCH3	Mel202	0.017232	0.95131
GPATCH3	Mel270	0.12897	0.69961
GPATCH3	Mel285	0.043732	0.97832
GPATCH3	MP38	0.013041	0.9729
GPATCH3	MP41	-0.032528	0.97274
GPATCH3	MP46	0.021869	0.97236
GPATCH3	OMM1	0.0075897	0.97309
GPATCH3	OMM23	-0.031357	0.98354
GPATCH3	OMM25	0.063441	0.88124
GPATCH4	921	0.18693	0.85877
GPATCH4	Mel202	-0.050498	0.97994
GPATCH4	Mel270	0.23184	0.31811
GPATCH4	Mel285	0.16385	0.75163
GPATCH4	MP38	0.10436	0.74132
GPATCH4	MP41	0.31447	0.046742
GPATCH4	MP46	0.11461	0.72641
GPATCH4	OMM1	0.037358	0.93299
GPATCH4	OMM23	0.16653	0.47099
GPATCH4	OMM25	0.072906	0.85777
GPATCH8	921	-0.36833	0.55307
GPATCH8	Mel202	0.43053	0.017518
GPATCH8	Mel270	-0.22028	0.70471
GPATCH8	Mel285	0.090282	0.91371
GPATCH8	MP38	-0.085469	0.88538
GPATCH8	MP41	-0.4939	0.13878
GPATCH8	MP46	0.12335	0.68979
GPATCH8	OMM1	-0.03857	0.98005
GPATCH8	OMM23	-0.062615	0.95787
GPATCH8	OMM25	-0.036541	0.98024
GPBAR1	921	0.34821	0.58399
GPBAR1	Mel202	0.072357	0.8492
GPBAR1	Mel270	0.1717	0.54276
GPBAR1	Mel285	-0.0044785	0.97053
GPBAR1	MP38	0.13794	0.58901
GPBAR1	MP41	0.20252	0.30575
GPBAR1	MP46	0.13653	0.62474
GPBAR1	OMM1	0.11709	0.71674
GPBAR1	OMM23	0.1255	0.66707
GPBAR1	OMM25	0.2073	0.37881
GPBP1	921	-0.03577	0.95083
GPBP1	Mel202	0.12788	0.71114
GPBP1	Mel270	0.18394	0.49877
GPBP1	Mel285	0.13394	0.81686
GPBP1	MP38	-0.0024052	0.99365
GPBP1	MP41	-0.060476	0.93133
GPBP1	MP46	0.04672	0.93632
GPBP1	OMM1	0.082219	0.83707
GPBP1	OMM23	0.054954	0.90391
GPBP1	OMM25	-0.086836	0.92577
GPBP1L1	921	-0.24085	0.73207
GPBP1L1	Mel202	0.17922	0.53517
GPBP1L1	Mel270	-0.046411	0.9645
GPBP1L1	Mel285	0.11987	0.85585
GPBP1L1	MP38	-0.10386	0.8473
GPBP1L1	MP41	-0.10924	0.84111
GPBP1L1	MP46	-0.05425	0.90879
GPBP1L1	OMM1	-0.050546	0.96907
GPBP1L1	OMM23	-0.11012	0.88535
GPBP1L1	OMM25	-0.13791	0.85068
GPC1	921	0.3161	0.64046
GPC1	Mel202	0.043889	0.90632
GPC1	Mel270	0.043587	0.90409
GPC1	Mel285	-0.040787	0.92274
GPC1	MP38	0.044561	0.91972
GPC1	MP41	0.095078	0.7332
GPC1	MP46	0.084863	0.8428
GPC1	OMM1	-0.03353	0.9862
GPC1	OMM23	0.069832	0.86636
GPC1	OMM25	0.090425	0.81813
GPC2	921	-0.048819	0.93677
GPC2	Mel202	-0.06012	0.97048
GPC2	Mel270	-0.12288	0.85713
GPC2	Mel285	0.24535	0.49956
GPC2	MP38	-0.01293	0.99258
GPC2	MP41	0.047959	0.88868
GPC2	MP46	-0.024776	0.96007
GPC2	OMM1	-0.016744	0.99967
GPC2	OMM23	0.075244	0.85179
GPC2	OMM25	0.11343	0.74815
GPC3	921	0.21165	0.82419
GPC3	Mel202	0.19563	0.48018
GPC3	Mel270	0.05032	0.89111
GPC3	Mel285	-0.059796	0.89733
GPC3	MP38	0.020127	0.96103
GPC3	MP41	0.11705	0.65385
GPC3	MP46	0.069397	0.88311
GPC3	OMM1	0.12583	0.68538
GPC3	OMM23	0.10867	0.74294
GPC3	OMM25	0.20423	0.39478
GPC4	921	0.63632	0.076227
GPC4	Mel202	0.33085	0.078236
GPC4	Mel270	0.092388	0.80905
GPC4	Mel285	0.23312	0.5383
GPC4	MP38	0.063563	0.87302
GPC4	MP41	0.091289	0.74924
GPC4	MP46	0.068215	0.88558
GPC4	OMM1	0.12869	0.6735
GPC4	OMM23	0.056348	0.90171
GPC4	OMM25	0.33597	0.043651
GPC5	921	0.13928	0.91071
GPC5	Mel202	0.26681	0.23537
GPC5	Mel270	0.27281	0.1755
GPC5	Mel285	0.23883	0.52381
GPC5	MP38	0.15051	0.51931
GPC5	MP41	0.21586	0.24726
GPC5	MP46	0.079361	0.85457
GPC5	OMM1	0.22569	0.23989
GPC5	OMM23	0.17935	0.41248
GPC5	OMM25	0.26969	0.16648
GPC6	921	0.54307	0.19524
GPC6	Mel202	0.13574	0.6906
GPC6	Mel270	0.26026	0.21488
GPC6	Mel285	0.13598	0.81212
GPC6	MP38	0.21914	0.17872
GPC6	MP41	0.11298	0.66988
GPC6	MP46	0.10331	0.77835
GPC6	OMM1	0.25517	0.15291
GPC6	OMM23	0.16878	0.45892
GPC6	OMM25	0.24565	0.23419
GPCPD1	921	-0.084147	0.90264
