Gene stable ID	Gene stable ID version	Gene name	HGNC symbol	HGNC ID
ENSG00000093144	ENSG00000093144.19	ECHDC1	ECHDC1	HGNC:21489
ENSG00000178919	ENSG00000178919.9	FOXE1	FOXE1	HGNC:3806
ENSG00000136932	ENSG00000136932.16	TRMO	TRMO	HGNC:30967
ENSG00000140470	ENSG00000140470.15	ADAMTS17	ADAMTS17	HGNC:17109
ENSG00000162931	ENSG00000162931.12	TRIM17	TRIM17	HGNC:13430
ENSG00000130724	ENSG00000130724.10	CHMP2A	CHMP2A	HGNC:30216
ENSG00000144224	ENSG00000144224.17	UBXN4	UBXN4	HGNC:14860
ENSG00000136929	ENSG00000136929.13	HEMGN	HEMGN	HGNC:17509
ENSG00000167992	ENSG00000167992.14	VWCE	VWCE	HGNC:26487
ENSG00000148057	ENSG00000148057.16	IDNK	IDNK	HGNC:31367
ENSG00000167107	ENSG00000167107.13	ACSF2	ACSF2	HGNC:26101
ENSG00000115850	ENSG00000115850.10	LCT	LCT	HGNC:6530
ENSG00000140471	ENSG00000140471.17	LINS1	LINS1	HGNC:30922
ENSG00000167676	ENSG00000167676.5	PLIN4	PLIN4	HGNC:29393
ENSG00000106648	ENSG00000106648.15	GALNTL5	GALNTL5	HGNC:21725
ENSG00000135018	ENSG00000135018.14	UBQLN1	UBQLN1	HGNC:12508
ENSG00000063169	ENSG00000063169.12	BICRA	BICRA	HGNC:4332
ENSG00000104419	ENSG00000104419.17	NDRG1	NDRG1	HGNC:7679
ENSG00000169047	ENSG00000169047.6	IRS1	IRS1	HGNC:6125
ENSG00000144468	ENSG00000144468.17	RHBDD1	RHBDD1	HGNC:23081
ENSG00000126243	ENSG00000126243.9	LRFN3	LRFN3	HGNC:28370
ENSG00000171960	ENSG00000171960.12	PPIH	PPIH	HGNC:14651
ENSG00000183475	ENSG00000183475.13	ASB7	ASB7	HGNC:17182
ENSG00000205138	ENSG00000205138.4	SDHAF1	SDHAF1	HGNC:33867
ENSG00000137497	ENSG00000137497.19	NUMA1	NUMA1	HGNC:8059
ENSG00000169031	ENSG00000169031.21	COL4A3	COL4A3	HGNC:2204
ENSG00000181392	ENSG00000181392.17	SYNE4	SYNE4	HGNC:26703
ENSG00000175787	ENSG00000175787.18	ZNF169	ZNF169	HGNC:12957
ENSG00000154227	ENSG00000154227.14	CERS3	CERS3	HGNC:23752
ENSG00000157212	ENSG00000157212.20	PAXIP1	PAXIP1	HGNC:8624
ENSG00000028277	ENSG00000028277.22	POU2F2	POU2F2	HGNC:9213
ENSG00000196458	ENSG00000196458.11	ZNF605	ZNF605	HGNC:28068
ENSG00000198393	ENSG00000198393.8	ZNF26	ZNF26	HGNC:13053
ENSG00000198040	ENSG00000198040.11	ZNF84	ZNF84	HGNC:13159
ENSG00000009335	ENSG00000009335.19	UBE3C	UBE3C	HGNC:16803
ENSG00000048545	ENSG00000048545.18	GUCA1A	GUCA1A	HGNC:4678
ENSG00000168955	ENSG00000168955.4	TM4SF20	TM4SF20	HGNC:26230
ENSG00000197977	ENSG00000197977.4	ELOVL2	ELOVL2	HGNC:14416
ENSG00000079689	ENSG00000079689.15	SCGN	SCGN	HGNC:16941
ENSG00000173744	ENSG00000173744.18	AGFG1	AGFG1	HGNC:5175
ENSG00000182511	ENSG00000182511.12	FES	FES	HGNC:3657
ENSG00000136457	ENSG00000136457.10	CHAD	CHAD	HGNC:1909
ENSG00000170456	ENSG00000170456.16	DENND5B	DENND5B	HGNC:28338
ENSG00000164508	ENSG00000164508.6	H2AC1	H2AC1	HGNC:18729
ENSG00000146047	ENSG00000146047.7	H2BC1	H2BC1	HGNC:18730
ENSG00000112164	ENSG00000112164.6	GLP1R	GLP1R	HGNC:4324
ENSG00000136444	ENSG00000136444.10	RSAD1	RSAD1	HGNC:25634
ENSG00000166508	ENSG00000166508.19	MCM7	MCM7	HGNC:6950
ENSG00000174990	ENSG00000174990.8	CA5A	CA5A	HGNC:1377
ENSG00000112167	ENSG00000112167.11	SAYSD1	SAYSD1	HGNC:21025
ENSG00000065978	ENSG00000065978.19	YBX1	YBX1	HGNC:8014
ENSG00000164626	ENSG00000164626.9	KCNK5	KCNK5	HGNC:6280
ENSG00000096395	ENSG00000096395.11	MLN	MLN	HGNC:7141
ENSG00000049283	ENSG00000049283.19	EPN3	EPN3	HGNC:18235
ENSG00000172530	ENSG00000172530.22	BANP	BANP	HGNC:13450
ENSG00000113649	ENSG00000113649.14	TCERG1	TCERG1	HGNC:15630
ENSG00000084731	ENSG00000084731.15	KIF3C	KIF3C	HGNC:6321
ENSG00000090615	ENSG00000090615.16	GOLGA3	GOLGA3	HGNC:4426
ENSG00000189367	ENSG00000189367.15	KIAA0408	KIAA0408	HGNC:21636
ENSG00000213265	ENSG00000213265.9	TSGA13	TSGA13	HGNC:12369
ENSG00000164007	ENSG00000164007.11	CLDN19	CLDN19	HGNC:2040
ENSG00000153930	ENSG00000153930.13	ANKFN1	ANKFN1	HGNC:26766
ENSG00000266265	ENSG00000266265.4	KLF14	KLF14	HGNC:23025
ENSG00000117385	ENSG00000117385.16	P3H1	P3H1	HGNC:19316
ENSG00000105976	ENSG00000105976.16	MET	MET	HGNC:7029
ENSG00000184530	ENSG00000184530.9	C6orf58	C6orf58	HGNC:20960
ENSG00000084733	ENSG00000084733.11	RAB10	RAB10	HGNC:9759
ENSG00000124493	ENSG00000124493.14	GRM4	GRM4	HGNC:4596
